Timestamp,username,age,gender,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,points,time_taken,tiredness,sport_freq
26/02/2024 16:37,gbkd,20,female,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,221.1515493,5,Sometimes
26/02/2024 16:41,snlc,20,male,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,8,210.1235292,5,Often
26/02/2024 16:47,YOh,20,male,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,6,226.0020709,7,Never
26/02/2024 16:52,FSSR,19,female,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,10,222.4534359,8,Often
26/02/2024 16:57,CWCM,20,female,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,13,208.0446756,5,Never
04/03/2024 14:14,tmlm,22,female,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,8,234.9846857,4,Never
04/03/2024 14:20,EH,20,male,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,6,178.521729,6,Sometimes
04/03/2024 14:30,ZMHL,19,male,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,13,245.1143615,2,Sometimes
04/03/2024 14:35,aret,19,female,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,10,231.6768687,7,Never
04/03/2024 14:42,jtaa,20,male,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,9,238.3224916,3,Often
04/03/2024 14:53,LNAH,21,male,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,9,186.4012871,5,Sometimes
04/03/2024 14:58,ajhf,36,male,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,15,215.4454803,1,Sometimes
06/03/2024 11:21,adib,21,male,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,10,212.0091012,9,Sometimes
06/03/2024 11:46,rae,20,female,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,12,215.8272636,8,Never
07/03/2024 13:49,GG99,19,male,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,11,213.5920029,4,Often
07/03/2024 14:29,BZBZ,19,female,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,12,216.7938099,5,Frequent
07/03/2024 15:46,717,20,female,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,5,220.1381209,3,Never
